분류,기타,구조명,경량충격음 차단성능 (등급),중량충격음 차단성능 (등급),완충재 추산가격 (원),완충재 노무비 (원),유효기간,마감 모르타르 두께 (mm),경량기포 콘크리트 두께 (mm),전체 두께 (mm),전체 가격 (원)
도넛형중공슬래브,EPS24골,GB-SLAB SYSTEM(I),1,4,2037,1000,2019-07-31,40,40,360,9827
복합,일체화,E-con(A)70-2,1,3,102767,5176,2023-07-22,40,0,329.5,112935
복합,일체화,E-con(A)70-4,2,2,102767,5176,2023-07-22,40,0,332.5,112935
복합,EPS24평,PO-HMN60-210,1,1,4074,1000,2020-11-09,40,0,310,10066
복합,,SOLIDPOL-40M51,1,2,6000,1000,2021-03-22,40,40,330,13790
복합,,SOLIDPOL-40M52,1,2,6000,1000,2021-03-22,40,40,290,13790
복합,EPS12평,소닉스 A1 시스템,1,2,6420,1000,2021-06-27,40,0,325,12412
복합,EPS24골,SMD-Ⅲ SYSTEM,1,2,2037,1000,2021-12-05,40,40,320,9827
복합,,ND G2-1184,1,3,6000,1000,2020-09-24,40,40,344.05,13790
복합,EPS24평,AVS-FL601 시스템,1,3,2037,1000,2021-06-22,40,0,310,8029
복합,EPS24평,소닉스 A2 시스템,1,3,4074,1000,2021-07-17,40,0,325,10066
복합,EPS12평28,QT-001 층간소음 방지 씨스템,1,3,2996,1000,2023-02-07,30,40,322,9538
복합,,SOLIDPOL-30M41,1,3,6000,1000,2020-07-14,40,40,320,13790
복합,,대호 GL-SYSTEM 2,1,4,6000,1000,2022-07-04,40,40,320,13790
복합,,노소리 PC S&D,1,4,6000,1000,2020-03-15,35,0,330,11368
복합,,DIS-302M,1,4,6000,1000,2019-11-03,40,40,320,13790
복합,,SMD-Ⅰ SYSTEM,1,4,6000,1000,2021-07-11,40,40,320,13790
복합,,SMD-Ⅱ SYSTEM,1,4,6000,1000,2021-07-11,40,40,320,13790
복합,,대호 GL-SYSTEM3,1,4,6000,1000,2023-03-20,40,40,320,13790
복합,,볼텍스 VTX-603 시스템,1,4,6000,1000,2020-11-10,40,40,320,13790
복합,,Z-dB NP30,1,4,6000,1000,2020-11-22,40,40,320,13790
복합,EVA칩일체화,E-con(A)70-3,2,3,102767,5176,2023-07-22,40,0,327.5,112935
복합,EVA칩일체화,E-con(A)70-6,2,3,102767,5176,2023-07-22,40,0,335,112935
복합,,휴플렉스탑,1,4,6000,1000,2021-03-01,40,40,320,13790
복합,,SOLIDPOL-40M40,2,3,6000,1000,2020-07-14,40,40,330,13790
복합,,SOLIDPOL-40M41,2,3,6000,1000,2020-07-14,40,40,330,13790
복합,,더샵포스코지-210,1,4,6000,1000,2023-04-23,40,40,320,13790
복합,EPS24평20,하우젠 시스템,1,4,1574,1000,2020-09-24,40,40,322.5,9364
중공무량판슬래브,EVA골15*2,MU-PA302-280,2,3,5500,1000,2020-08-06,40,40,390,13290
EPS14골,,DI-Ⅴ System,1,2,2077,1000,2021-04-24,40,40,320,9867
EPS14평,,LEISE Board System,1,3,2077,1000,2021-11-09,40,40,320,9867
EPS23평,,S1-HB30B-210,1,4,2716,1000,2021-10-16,40,40,320,10506
EPS24골,,DI-HDJ System,1,2,2732,1000,2020-07-13,40,40,320,10522
EPS24골,,NPEX-SYSTEM(A-20),1,2,2732,1000,2020-08-20,40,40,310,10522
EPS24골,,AVS-IT301,1,2,2732,1000,2021-03-31,40,40,320,10522
EPS24골,,DI-JS SYSTEM1,1,2,2732,1000,2021-05-30,40,40,320,10522
EPS24골,,DIS-301S,1,3,2732,1000,2020-07-16,40,40,320,10522
EPS24골,,HENP-IT301 공동주택 바닥충격음 차단구조 시스템,1,3,2732,1000,2019-10-05,40,40,320,10522
EPS24골,,TSI-30A 시스템,1,3,2732,1000,2021-04-24,40,40,320,10522
EPS24골,,DI-DJ-III system,1,3,2732,1000,2022-10-25,40,40,320,10522
EPS24골,,DI-II SYSTEM,1,3,2732,1000,2019-09-16,40,40,320,10522
EPS24골,,제로폴 1,1,3,2732,1000,2020-05-06,40,40,320,10522
EPS24골,,NPEX-SYSTEM(A),1,3,2732,1000,2019-12-08,40,40,320,10522
EPS24골,,습식 FloSys 12,1,3,2732,1000,2019-10-30,40,40,320,10522
EPS24골,,Zero Sound Foam–C25,1,3,2732,1000,2022-05-15,40,40,320,10522
EPS24골,,습식 FloSys 15,1,4,2732,1000,2021-12-11,40,40,320,10522
EPS24골,,NPEX-SYSTEM(HK-Ⅰ),1,4,2732,1000,2022-04-04,40,40,320,10522
EPS24골,,Zero Sound Foam-0300,1,4,2732,1000,2023-05-30,40,40,320,10522
EPS24골,,Zero Sound Foam–0280,1,4,2732,1000,2022-06-14,40,40,320,10522
EPS24골20,,DI-HS System,1,4,1574,1000,2021-07-28,40,40,310,9364
EPS24골,EPS24골40,DI-FN70 system,1,4,5325,1000,2021-09-08,40,0,320,11317
EPS24골30*2,,반건식 FloSys 2,1,3,4722,1000,2022-05-14,40,0,310,10714
EPS24평,,ECO30B-210,1,3,2732,1000,2021-12-27,40,40,320,10522
EPS24평,,S2-HB30B1-210,1,3,2732,1000,2021-10-16,40,40,320,10522
EPS24평,,S4-HB30B2-210,1,3,2732,1000,2022-02-19,40,40,320,10522
EPS24평,,S5-HB30B4-210,1,3,2732,1000,2022-05-07,40,40,320,10522
EPS24평,,S6-HB30B5-210,1,3,2732,1000,2022-08-03,40,40,320,10522
EPS24평,,S6-HB30B6-210,1,3,2732,1000,2022-11-06,40,40,320,10522
EPS24평,,DIS-301S,1,3,2732,1000,2020-07-16,40,40,320,10522
EPS24평,,NEOCALM BOARD,1,3,2732,1000,2022-06-25,40,40,320,10522
EPS24평,,HENP-DS30 시스템,1,3,2732,1000,2021-05-24,40,40,320,10522
EPS24평,,L1-ECO30B-210,1,3,2732,1000,2021-10-10,40,40,320,10522
EPS24평,,ECO-N301B-210,1,4,2732,1000,2021-07-28,40,40,320,10522
EPS24평,,S5-HB30B3-210,1,4,2732,1000,2022-05-07,40,40,320,10522
EPS24평,,Z-dB 30,1,4,2732,1000,2022-09-18,40,40,320,10522
